device,time_ms,model,MAE,MSE,R2,n_samples
oppo,500,RF,3.5686346478294784,24.351134001391888,0.6368608066880164,2612
phone,500,RF,3.4480086516487747,23.985901225382417,0.6423073840689134,2612
um,500,RF,3.314531163458953,21.82454274430903,0.6745389004833088,2612
