device,model,MAE_mean,MAE_std
oppo,GB,3.7465559968279507,0.16389170972344555
oppo,RF,3.643154671439588,0.130695994672684
oppo,SVR,3.7197168785610684,0.14758604841317668
phone,GB,3.6825583489676346,0.07136025748775102
phone,RF,3.5294352285990636,0.05339284168500358
phone,SVR,3.6401675153620667,0.06142144348331947
um,GB,3.457628132485128,0.08609143939273022
um,RF,3.380207188155773,0.08272995025804632
um,SVR,3.41775631056188,0.06983106096104405
